speech_id,keywords,speech_giver,year,topic_label
term18-year4-session018-3,"anap, gürültü, tepki, sıralar, ilgisizlik, sesler, politikacılar, tartışma, meclis, katılım",Abdülkadir Cenkçiler,4,
term18-year4-session011-1,"TÜSİAD, Rapor, Eğitim, Türkiye, Kamuoyu, Bakanlar, Cumhur, Köşe Yazarları, Basın, Tepkiler",Türkân Akyol,4,
term18-year4-session011-2,"Ziya Bursaloğlu, Haydar Taymaz, İbrahim Etem Başaran, TÜSİAD, Eğitim Bilimi Birinci Ulusal Kongresi, Profesör Doktor, Zekai Baloğlu, Talim ve Terbiye Kurulu, Rapor",K. Kemal Anadol,4,
term18-year4-session011-3,"TÜRKÂN AKYOL, konuşma, istek, 5 dakika, Meclis, rapor, araştırma, çözüm, katılım, vatandaş",Şinasi Aluner,4,
term18-year4-session092-1,"Selahattin Kılıç, Adana, Meclis, Anayasa, Demokrasi, Vatandaş, Haklar, Özgürlük, Sosyal Adalet, Gelecek Nesiller. 

(Not: ""TBMM"" ve ""Parlamento"" gibi genel terimler yerine",Selahattin Kılıç,4,
term18-year4-session092-2,"Adana, AHATTIN KILIÇ, milletvekili, konuşma, demokrasi, katılım, ifade özgürlüğü, vatandaş, toplum, gelecek, umut.",Ahmet Rüştü Kurt,4,
term18-year4-session092-3,"Yüce Meclis, SHP, alkışlar, politika, demokrasi, temsil, katılım, karar, tartışma, gelecek.",Neccar Türkcan,4,
term18-year4-session023-1,"Cumhur, Vekillik, Uygun Görülme, Meclis, Başkan, Karar, Siyasi, Temsil, Vatandaş, Ülke",Erol Ağagil,4,
term18-year4-session023-2,"Dokunulmazlık, Kaldırma, Başbakanlık, Tezkeresi, Anayasa, Adalet Komisyonu, Karma Komisyon, Rapor, Türkiye, Meclis",Mahmut Alınak,4,
term18-year4-session023-3,"Hakkında, Başbakanlık Tezkeresi, Anayasa ve Adalet Komisyonları, Karma Komisyon Raporu, Türkiye Büyük Millet Meclisi, 3/726, S. Sayısı: 455, Alınması, Rap",Ali Eser,4,
term18-year4-session010-1,"Kamuoyu, medya, demokrasi, özgürlük, ifade, soru, yanıt, tartışma, vatandaş, gelecek.",K. Kemal Anadol,4,
term18-year4-session010-2,"Anadol, İzmir, Meclis, Konuşma, Alkış, Gündem, Zaman, Kısıtlı, Bağımsızlar, Türkiye",Tevfik Ertüz,4,
term18-year4-session010-3,"Cüneyt Canver, Adana, Meclis, Anayasa, Demokrasi, Vatandaş, Haklar, Özgürlük, Sorumluluk, Gelecek. 

(Not: ""TBMM"" ve ""Parlamento"" gibi genel terimler yerine",Cüneyt Canver,4,
term18-year4-session024-1,"ABDÜLKADİR CENKÇİLER, Bursa, Meclis, Türkiye, Demokrasi, Siyaset, Toplum, Gelecek, Değişim, Sorunlar. 


Konuşmanın içeriğine dayanarak, TBMM konuş",Abdülkadir Cenkçiler,4,
term18-year4-session024-2,"İsmail Üğdül, Edirne, Milletvekili, Sosyaldemokrat Halkçı Partisi, Kabine, Gündem Dışı Konuşma, TBMM, Açıklama, Cumhuriyet Meclisi, Yüce Heyet.",İsmail Üçdül,4,
term18-year4-session024-3,"felaket, yardım, alaka, ilgililer, alkış, DPR (DYP), saygılar, meclis, karar, gelecek",Öner Miski,4,
term18-year4-session024-4,"Nüfus sayımı, seçim bölgesi, gölge kabine, hükümet değişikliği, SHP, Anamuhalefet Partisi, Meclis, vatandaş, vaatler, 26 Mart",Hasan Fehmi Güneş,4,
term18-year4-session024-5,"ABDÜLKADİR CENKÇİLER, Bursa, Meclis, konuşmacı, DYP, ABD, politika, demokrasi, temsil, vatandaş",İlhan Aşk,4,
term18-year4-session002-1,"Fehmi Işıklar, Bursa, Meclis, Konuşma, Alkışlar, Politikacı, Vatandaş, Demokrasi, Katılım, İfade Özgürlüğü.",Fehmi Işıklar,4,
term18-year4-session002-2,"Giresun, Ahmet Rüştü Kurt, milletvekili, konuşma, demokrasi, katılım, halk, gelecek, umut, değişim, sorumluluk.",Ahmet Rüştü Kurt,4,
term18-year4-session002-3,"Birleşmiş Milletler, Kriz Fonu, Türkiye Büyük Millet Meclisi, Savaş, Barış, Yetki, Bağımsızlık, Güvenlik, İsrail, Uçak, Bilgi",Orhan Şendag,4,
term18-year4-session093-1,"Ahmet Neidim, Sakarya, Meclis, rapor, ekonomi, yatırım, altyapı, kalkınma, gençlik, istihdam.",Ahmet Neidim,4,
term18-year4-session093-2,"Kamuoyu, Medya, Demokrasi, Reform, Adalet, Vatandaş, Hükümet, Siyaset, Eleştiri, Gelecek. 

(Not: Konuşmanın içeriğine göre anahtar kelimeleri belirledim.",K. Kemal Anadol,4,
term19-year1-session045-1,"Faralyalı, İzmir, Meclis, Başkan, Reform, Eğitim, Gelecek, Genç, Demokrasi, Katılım

**Açıklama:**

Konuşma, İzmir'den bir milletvekili (Faralyalı) tarafından TBMM'de",Faralyalı,1,
term19-year1-session042-1,"hükümet, reform, ekonomi, sosyal adalet, gençlik, eğitim, sağlık, çevre, demokrasi, vatandaş",Mehmet Bahattin Yücel,1,
term19-year1-session042-2,"verilen metin çok kısa ve belirli bir konuyu veya olayı yansıtmıyor. Bu nedenle, anlamlı anahtar kelimeler çıkarmak zor. Ancak, mevcut metne dayanarak çıkarılabilecek 10 anahtar kelime şu şekilde olabilir:",İsmet Gür,1,
term19-year1-session042-3,"hükümet, reform, ekonomi, toplum, adalet, özgürlük, demokrasi, vatandaş, gelecek, değişim",Edip Safder Gaydalı,1,
term19-year1-session072-1,"Ahmet Feyzi İnceöz, Tokat, Meclis, Konuşma, Demokrasi, Vatandaş, Katılım, Gelecek, Sorunlar, Çözüm",Ahmet Fevzi İnceöz,1,
term19-year1-session072-2,"Kemelettin Göktaş, Trabzon, TBMM, anayasa, demokrasi, reform, eğitim, sağlık, ekonomi, sosyal adalet.",Kemalettin Göktaş,1,
term19-year1-session072-3,"kötü gidiş, önlem, alaka, acil, Meclis, alkış, RP, saygılar, temenni, sunarım.",Mustafa Baş,1,
term19-year1-session030-1,"Meclis araştırması, Turizm sektörü, Yapısal durum, Kapasite, İstanbul, Milletvekili, Halil Orhan Ergüder, Kimlik Bildirme Kanunu, Değişiklik, Kanun Teklifi, Adalet Komisyonu",Yaşar Erbaz,1,
term19-year1-session030-2,"İddialar, Soruşturma, Dışişleri Bakanı Hikmet Çetin, Manisa Milletvekili Ekrem Pakdemirli, Devlet Bakanı Tansu Çiller, Nevşehir Milletvekili Osman Seyfi, Öğretmen, Özlük Haklar, Vergi",Hasan Korkmazcan,1,
term19-year1-session030-3,"Yasin Hatipoğlu, Genel Kurul, Sözlü Soru, Bakan, Erteleme, Perşembe, Saat 15.00, Toplanma, Birleşme, 23 Ocak 1992",Cevat Ayhan,1,
term19-year1-session031-1,"Sezgın (Aydın), Meclis, Anayasa, Demokrasi, Vatandaş, Katılım, Gelecek, Sorunlar, Çözüm, Umut",Sezg,1,
term19-year1-session088-1,"Rüştü Kâzım Yücelen, İçel, Meclis, Konuşma, Politika, Demokrasi, Temsil, Vatandaş, Ülke, Gelecek",Rüştü Kâzım Yücelen,1,
term19-year1-session088-2,"gerçekler, öğrenme, rahatsızlık, kaçış, politika, bilgi, Meclis, TBMM, milletvekili, tartışma",Mustafa Parlak,1,
term19-year1-session088-3,"ihaleye, yolsuzluk, genel müdür, mahkeme, bakan, soruşturma, tuz, şikayet, teftiş, başarı",İ. Melih Gökçek,1,
term19-year1-session011-1,"Muzaffer Arıcı, Denizli, Meclis, Konuşma, Alkış, ANAP, Politikacılar, Vatandaşlar, Katılım",Muzaffer Arıcı,1,
term19-year1-session016-1,"komisyon, Adalet, Dışişleri, politika, yasa, demokrasi, temsil, tartışma, karar, görev",Şah,1,
term19-year1-session016-2,"Doğubeyazıt, Aduy, İl, Kurulma, Kanun Teklifi, İçişleri, Plan ve Bütçe, Komisyon, Parlamento, Bölge",Zeki Ergezen,1,
term19-year1-session016-3,"Ökkeş Şendiller, Kahramanmaraş, Meclis, Anayasa, Demokrasi, Vatandaş, Hak, Özgürlük, Sosyal Adalet, Kalkınma",Ökkeş Şendiller,1,
term19-year1-session016-4,"Ömer Faruk Ekinci, Ankara, Cumhurbaşkanı, Demokrasi, Reform, Eğitim, Gelecek, Vatandaş, Özgürlük, Kalkınma",Ömer Faruk Ekinci,1,
term19-year1-session080-1,"Gaffar Yakın, Afyon, Meclis, Konuşma, Söz, Politika, Temsilci, Vatandaş, Demokrasi, Katılım",Gaffar Yak,1,
term19-year1-session080-2,"sınav, öğrenci, aile, stres, ösym, bakan, haber, skandal, çalma, garanti, telafi",Ahmet Remzi Hatip,1,
term19-year1-session080-3,"İbrahim Kumaş, Tokat, Meclis, Anayasa, Demokrasi, Vatandaş, Haklar, Özgürlük, Sosyal Adalet, Kalkınma",İbrahim Kumaş,1,
term19-year1-session075-1,"İsmet Kaya Erdem, İzmir, Meclis, Konuşma, Söz, Politika, Parlamento, Vatandaş, Temsil, Demokrasi",İsmet Kaya Erdem,1,
term19-year1-session075-2,"Lütfi Doğan, Gümüşhane, Meclis, Konuşma, Davet, Alkış, RP, ANAP, Politikacı, Vatandaş",Lütfi Doğan,1,
term19-year1-session075-3,"met Kaya Erdem, İzmir, TBMM, konuşma, söz, politika, demokrasi, temsil, katılım, ifade",Mehmet Keçeciler,1,
term19-year1-session024-1,"Bayburt, Milli Savunma Bakanı, Nevzat Ayaz, Ankara, Adalet Bakanı, M. Seyfi Oktay, Kars, Tarım ve Köyişleri Bakanı, Necmettin Cevheri, Maliye ve Gümrük Bakanı, Sümer Oral",Mehmet Keçeciler,1,
term19-year1-session024-2,"Rafinerisi, İzmir Aliağa, Orta Anadolu Rafinerisi, İzmit Rafinerisi, Hidrokraking, Türkiye, Miting Meydanı, 7 Mayıs 1991, Yerli Petrol, Akaryakıt T",İ. Melih Gökçek,1,
term19-year1-session024-3,"Bayburt, Milletvekili, Bahattin Elçi, Nevzat Ayaz, Mehmet Gedik, Akın Gönen, Necmettin Cevheri, H. Uluç Gürkan, Mehmet Rauf Ertekin, Sümer Oral, Ankara Devlet",Cem Kozlu,1,
term19-year1-session063-1,"Algan Hacaloğlu, İstanbul, söz, Meclis, politika (konu), ekonomi (olay/alan), sosyal adalet (olay), gençlik (kişi/grup), eğitim (alan), fırsat eşitliği (il",Algan Hacaloğlu,1,
term19-year1-session063-2,"Kemelettin Göktaş, Trabzon, Meclis, TBMM, Tartışma, Ekonomik Durum, Sosyal Politikalar, Kamuoyu, Gelecek Planları, Sorumluluk",Kemalettin Göktas,1,
term19-year1-session063-3,"Algan Hacaloğlu, İstanbul, Meclis, Konuşma, Reform, Demokrasi, Katılım, Toplum, Gelecek, Değişim",Rüştü Kâzım Yücelen,1,
term19-year1-session083-1,"Halit Dumankaya, İstanbul, Meclis, Konuşma, Politika, Ekonomi, Toplum, Gelecek, Değerlendirme, Sorunlar",Halit Dumankaya,1,
term19-year1-session083-2,"İbrahim Kumaş, Tokat, Meclis, Anayasa, Demokrasi, Vatandaş, Haklar, Özgürlük, Sosyal Adalet, Kalkınma",İbrahim Kumaş,1,
term19-year1-session083-3,"Kemelettin Göktaş, Trabzon, TBMM, anayasa, demokrasi, reform, eğitim, sağlık, ekonomi, sosyal adalet.",Kemalettin Göktas,1,
term19-year1-session023-1,"Kars, Süt Ürünleri ve Gıda Sanayii Anonim Şirketi, Tarım ve Köyişleri Bakanlığı, Necmettin Cevheri, Kahramanmaraş, Terör örgütü, Astsubay, Erin, Kurtuluş",Ekrem Pakdemirlî,1,
term19-year1-session023-2,"Ankara, Milletvekili, H. Uluç Gürkan, Adalet Bakanı M. Seyfi Oktay, Ankara Devlet Güvenlik Mahkemesi, Başsavcı, Savcı, Şikayet, İdarî Soruşturma",Hasan Mezarıcı,1,
term19-year1-session023-3,"H. Uluç Gürkan, Ankara, Devlet Güvenlik Mahkemesi, Savcı, Adalet Bakanı M. Seyfi Oktay, Dışişleri Bakanlığı, Müsteşar, Soruşturma, Şikayet, İdarî Soruşturma, Söz",Mehmet Kerimoğlu,1,
term19-year1-session023-4,"Mehmet Gedik, Cavit Çağlar, Bursa, Edirne, Erdal Kesebir, Millî Eğitim Bakanlığı, Kars, Zeki Nacitarlan, Terör örgütü, Kahramanmaraş, Ökkeş Şendiller, Ankara, H.",Gönen,1,
term19-year1-session064-1,"Yıldırım Akbulut, Erzincan, Meclis, Anayasa, Demokrasi, Reform, Eğitim, Ekonomi, Sosyal Adalet, Vatandaşlık",Yıldırım Akbulut,1,
term19-year1-session064-2,"İmza, Ankara, Belediye Başkanı, İhbar, Yasa, Vatandaş, Katılım, Şeffaflık, Sorumluluk, Geliştirme",I. Melih Gökçek,1,
term19-year1-session064-3,"Ahın, Muğla, milletvekili, demokrasi, katılım, ifade özgürlüğü, soru, yanıt, kamuoyu, gelecek.",Ahmet Dökülmez,1,
term19-year1-session049-1,"Erzincan, Deprem, Sivas, Valilik, Kandilli Rasathanesi, Deprem Araştırma Merkezi, Richter ölçeği, Maddi zarar, Kayıp, Afet İşleri Genel Müdürlüğü",Barutçu,1,
term19-year1-session022-1,"Mustafa Ateş Amıklıoğlu, Çorum, TBMM, sendika, işçi, hak, adalet, sosyal güvenlik, emek, çalışma koşulları, ekonomik durum.",Mustafa Ateş Amiklioğlu,1,
term19-year1-session022-2,"Ökkeş Şendiller, Kahramanmaraş, Meclis, Konuşma, Politika, Hükümet, Muhalefet, Vatandaş, Demokrasi, Temsil",Ökkeş Şendiller,1,
term19-year1-session022-3,"insan, yaradılış, sosyal güvenlik, gelir kaybı, devlet, yasal tedbir, Sosyal Sigortalar Kurumu, BağKur, Emekli Sandığı, iştirakçi, emekli, dul, yetim.",Mehmet Nedim Budak,1,
term19-year1-session065-1,"Çetin, Gaziantep, Meclis, Anayasa, Demokrasi, Vatandaş, Haklar, Özgürlük, Sosyal Adalet, Kalkınma",Çet,1,
term19-year1-session065-2,"Nevruz, Güneydoğu Anadolu, Meclis, Türkiye, Yurttaş, Hak ve Özgürlükler, Demokratikleşme, Kâmran İnan, Rapor, Hükümet",Güneş Taner,1,
term19-year1-session065-3,"Gaziantep, Dışişleri Bakanı, Hikmet Çetin, Türkiye, Diplomasi, Uluslararası İlişkiler, Güvenlik, Çatışma, Barış, Diyalog, Çözüm, Halk",M. İstemihan Talay,1,
term19-year1-session065-4,"Kuveyt, Azerbaycan, Türkiye, AGİK, BosnaHersek, Müslümanlar, Katliam, Sınır, Hırvatistan, Slavonya",Gaffar Yak,1,
term19-year1-session071-1,"Tinnur Demir, İzmir, TBMM, konuşma, politika, meclis, milletvekili, Türkiye, demokrasi, katılım. 

(Not: ""Sayın"" ve ""Buyurun"" gibi unvanlar ve genel ifadeler yerine, konuşmanın öz",Timur Demir,1,
term19-year1-session071-2,"asgari ücret, aile, yaşam maliyeti, köylü, örnek, TBMM, acı, eğitim masrafı, kira, tuvalet",İ. Melih Gökçek,1,
term19-year1-session071-3,"İzmir, MUR DEMİR, Meclis, Yasama, Demokrasi, Katılım, Toplum, Gelecek, Sorumluluk, Değişim, Umut",Mustafa Balcılar,1,
term19-year1-session034-1,"Mahmut Orhon, Yozgat, Meclis, Konuşma, Alkış, ANAP, Politika (konuşmanın içeriğine dayanarak çıkarılan), Reform, Demokrasi, Vatandaş",Mahmut Orhon,1,
term19-year1-session034-2,"fiyatlar, memur, zam, iktidar, köylü, emekli, esnaf, sanatkâr, vergi kaçakçılığı, ucuz elektrik",Oktay Öztürk,1,
term19-year1-session034-3,"Orhon, Yozgat, ANAP, Meclis, Konuşma, Alkış, Politika (konu), Temsilci (kişi), Demokrasi (olay), Ülke (yer)


**Açıklama:**

Kon",Bülent Akarcalı,1,
term19-year1-session033-1,"Coşkun Gökalp, Kanun Tasarısı, Kanun Teklifi, TBMM, Konuşmacı, Süre, Riayet, Kırşehir, Siyaset, Demokrasi",Coşkun Gökalp,1,
term19-year1-session033-2,"Karne, Ekmek, Satış, Kuyruk, Bekletme, Müzakere, Müsade, Meclis (ima ediliyorsa), Vatandaş (ima ediliyorsa), Sor",Ahmet Fevzi İnceöz,1,
term19-year1-session033-3,"Kırşehir, TBMM, Gökalp, İstirham, Konuşma, Parlamento, Siyaset, Vatandaş, Katılım, Temsil",Mehmet Nedim Budak,1,
term19-year1-session041-1,"Avni Akyol, Bolu, Meclis, Konuşma, Alkış, ANAP, TBMM, Milletvekili, Politika (konuşmanın içeriğine dayanarak çıkarılan anahtar kelimeler)

Not: Konuşmanın içeriği",Avni Akyol,1,
term19-year1-session041-2,"mektup, Hatay, Ağrı, Milli Eğitim Bakanı Köksal Toptan, Mustafa Kalemli, Hüseyin Akyol, araştırma raporu, proje, vaat, müracaat",Ahmet Der,1,
term19-year1-session041-3,"AVNİ AKYOL, Türkiye, Meclis, Anayasa, Hukuk, Demokrasi, Özgürlük, Haklar, Tartışma, Gelecek",Cavit Şadi Pehlivanoğlu,1,
term19-year1-session032-1,"Müftüler, Denizli, TBMM, Sayın, Halük, Din, İnanç, Toplantı, Konuşma, Din Adamı.",M. Halûk Müftüler,1,
term19-year1-session032-2,"İpragaz, Fransızlar, KİT, özelleştirme, Ankara İdare Mahkemesi, ÇİTOSAN, USAŞ, Tevfik Ertüzün, Köksal Toptan, Vefa Tanır",Eylüp Aşık,1,
term19-year1-session032-3,"Pamukkale, Hierapolis, Koruma, Turizm, Çevre Kirliliği, Anıt Yapılar, Mezarlar, UNESCO, Kamulaştırma, Miras",Şükrü Yürür,1,
term19-year1-session035-1,"Engin Güner, İstanbul, TBMM, konuşma, alkışlar, ANAP, politika (konuşmada doğrudan kullanılmasa da bağlamdan çıkarılabilir), temsilci, milletvekili, demokratik süreç. 

(Not: ""Meclis",Engin Güner,1,
term19-year1-session035-2,"Ahmet Özdemir, Tokat, Meclis, Konuşma, Politika, Temsilci, Vatandaş, Demokrasi, Katılım, İletişim",Ahmet Özdemir,1,
term19-year1-session035-3,"Timur Demir, İzmir, ANAP, konuşma, Meclis, ifade, alkış, politika (konuşmanın içeriğine dayanarak çıkarılan anahtar kelimeler), demokratik süreç, temsilci",Timur Demir,1,
term19-year1-session070-1,"Gaffar Yakın, Afyon, Meclis, söz, politika, demokrasi, temsil, katılım, vatandaş, tartışma.",Gaffar Yak,1,
term19-year1-session015-1,"Rüştü Kâzım Yücelen, Gündem Dışı Konuşma, ANAP, İçel, Meclis, Demokrasi, Siyaset, Vatandaş, Temsil, Özgürlük",Rüştü Kâzım Yücelen,1,
term19-year1-session015-2,"Rüşti Kazım Yücelen, İçel, Gündem dışı konuşma, ANAP, Alkış, Beş dakika, Riayet, Meclis, Konu, Olay",Yusuf Namoğlu,1,
term19-year1-session015-3,"Rüşti Kazım Yücelen, İçel, Meclis, Konuşma, Sayın, Riayet, Rica, Politika, Olay, Yer",Recep Kırış,1,
term19-year1-session079-1,"Yusuf Pamuk, İstanbul, Meclis, Konuşma, Söz, Politika, Parlamento, Vatandaş, Temsil, Katılım",Yusuf Pamuk,1,
term19-year1-session079-2,"Hasan Dikici, Kahramanmaraş, TBMM, söz, alkış, RP, politika (konuşmada doğrudan belirtilmemiş ancak bağlamdan çıkarılabilir), Meclis, temsilci (Hasan Dikici'nin TBMM'deki rolü), vatandaş (alk",Hasan Dikici,1,
term19-year1-session079-3,"Adıyaman, Celal Kürkoğlu, İddialar, Meclis Araştırması, Önergesi, Açıklığa Kavuşturma, Genel Kurul, Bilgi, Gündem, Öngörüşmeler",Sami Sözat,1,
term19-year1-session012-1,"Bakan, Tokat, SHP, DYP, alkışlar, söz, devlet, politika (konu), meclis (çerçeve), vatandaş (hedef kitle)",İleri,1,
term19-year1-session012-2,"yaşlı, birlikte, el ele, saygı, alkış, Meclis, TBMM, Parlamento, politika (konuşma bağlamında bu kelimeler kullanılmadığı için listeye dahil edilmedi) 

**Not:** Verilen metin çok",Yaşar Eryılmaz,1,
term19-year1-session012-3,"Bursa, Meclis, OĞLU, Politika, TBMM, Parlamento, Vatandaş, Demokrasi, Katılım, Gelecek, Umut",Oğuzhan Asıltürk,1,
term19-year1-session012-4,"Şırnak, MUT ALINAK, milletvekili, kadın, hak, güvenlik, eğitim, sağlık, ekonomik kalkınma, toplumsal adalet, demokrasi",Mustafa Bahri Kibar,1,
term19-year1-session077-1,"Gürdal (Bursa), Meclis, Anayasa, Demokrasi, Vatandaş, Haklar, Özgürlük, Eğitim, Gelecek, Sorumluluk",Gürol Soylu,1,
term19-year1-session077-2,"İbrahim Gürdal, Bursa, Meclis, Anayasa, Demokrasi, Reform, Eğitim, Gelecek, Vatandaş, Sorunlar. 


Konuşma, bir milletvekili (İbrahim Gürdal) tarafından Meclis'te (",İbrahim Gürdal,1,
term19-year1-session076-1,"Çorum, Muharrem Şemsek, milletvekili, ekonomi, enerji, altyapı, yatırım, kalkınma, gelecek, umut, vatandaş",Muharrem Şemsek,1,
term19-year1-session076-2,"Kemalettin Göktaş, Trabzon, Meclis, Konuşma, Alkış, Siyaset, Temsilci, Vatandaş, Demokrasi, Katılım",Kemalettin Göktaş,1,
term19-year1-session076-3,"ekonomi, kalkınma, yatırım, altyapı, bölgesel eşitsizlik, siyasi istikrar, demokratik değerler, halk, temsil, gelecek",Ökkeş Şendiller,1,
term19-year1-session078-1,"Ecevit, Zonguldak, Bilgi verme, Meclis, Usul, SHP, DYP, Alkış, Çetin, Politika (konuşma bağlamında dolaylı olarak)",Çet,1,
term19-year1-session078-2,"Bülent Ecevit, Zonguldak, Usul, Söz, Alış, SHP, DYP, Alkış, Çetin, Meclis (ima edilişi)",Bülent Ecevit,1,
term19-year1-session078-3,"Nahcivan, Müdahale, Muhalefet, Basın, 1967, Demirel, Kıbrıs, BoşnaHersek, Dış Politika, Cesur Karar",Coşkun Gökalp,1,
term19-year1-session078-4,"Ermeniler, Azerbaycan, Dağlık Karabağ, Türkiye, Diplomasi, Askerî, Hükümet, Açıklama, Çatışma, Politika",Ahmet Cemil Tunç,1,
term19-year1-session013-1,"Diyarbakır, TBMM, Kanun, Kahraman, Milletvekili, Diyalog, Barış, Toplum, Çözüm, İnsanlık",Kahraman,1,
term19-year1-session013-2,"İnsan Hakları Günü, Barış, Mutluluk, Yüce Meclis, Saygılar, SHP, DYP, Alıkışlar.",Remzi Kartal,1,
term19-year1-session013-3,"Diyarbakır, Bakan, Mehmet Kahraman, TBMM, Kürtler, Barış, Diyalog, Demokrasi, İnsan Hakları, Çözüm",Bahattin Elçi,1,
term19-year1-session014-1,"Mümîn Gençoğlu, Bursa, TBMM, konuşma, politika, demokrasi, katılım, gelecek, umut, vatandaş.",Mümin Gençoğlu,1,
term19-year1-session014-2,"Ökkeş Şendiller, Kahramanmaraş, Meclis, Bağımsızlar, Alkışlar, Sayın, Politik, Tartışma, Konuşma, Temsilci",Ökkeş Şendiller,1,
term19-year1-session014-3,"MÜMİN GENÇOĞLU, Bursa, TBMM, Meclis, Vatandaş, Gelecek, Sorumluluk, Karar, Güven, Katılım",Mahmut Orhon,1,
term19-year1-session069-1,"akanı Şerif Ercan, vekillik, Cumhur, uygun görülme, Meclis, görev, atama, siyasi, temsil, demokratik, süreç.",Aktuna,1,
term19-year1-session069-2,"IDA, Küresel Çevre Fonu (GEF), Amerika Birleşik Devletleri, Devlet Bakanı Prof. Dr. Tanışı Çiller, Devlet Bakanı Şerif Ercan, Başbakan, Vekillik, Hüsamettin Cindoruk",Mahmut Orhon,1,
term19-year1-session069-3,"Hatınoğlu, Artvin, Bakan, Cevap, Meclis, Soru, Bilgi, Vatandaş, Katılım, Şeffaflık.",Hasan Mezarci,1,
term19-year1-session069-4,"Ökova Termik Santrali, Enerji ve Tabii Kaynaklar Bakanı, Soru Önergesi, Meclis, Çevre, Enerji, Santral, Çevre Kirliliği, Kamuoyu, Tepki, Güvenlik",Ökkeş Şendiller,1,
term19-year1-session027-1,"Bayburt, Milletvekili, Bahattin Elçi, söz, Meclis, öneri, tartışma, demokrasi, katılım, temsil",Bahattin Elçi,1,
term19-year1-session027-2,"Burta, Milletvekili, Bahattin Elçi, söz, Meclis, Bayburt, politika (konuşmada doğrudan kullanılmasa da bağlamdan çıkarılabilir), demokratik süreç, temsil, halk, katılım, fikir. 


**Açık",Bülent Akarcalı,1,
term19-year1-session027-3,"hattin Elçi, Bayburt, Meclis, söz, isteme, politika, demokrasi, katılım, ifade, özgürlük.",Hasan Mezarci,1,
term19-year1-session018-1,"ABDULLAH GÜL, Kayseri, Meclis, Cumhurbaşkanı, Demokrasi, Liderlik, Gelecek, Ülke, Sorumluluk, Değerler",Abdullah Gül,1,
term19-year1-session018-2,"AH Gül, Kayseri, Meclis, Anayasa, Demokrasi, Vatandaş, Hak, Özgürlük, Sorumluluk, Gelecek. 

(Not: ""TBMM"" ve ""Parlamento"" gibi genel terimler yerine, konuşmanın içeri",Ahmet Dökülmez,1,
term19-year1-session018-3,"ABDULLAH GÜL, Kayseri, Meclis, Konuşma, Siyaset, Liderlik, Demokrasi, Vatandaş, Ülke, Gelecek",Adnan Kahveci,1,
term19-year1-session026-1,"Mukadder Başeğmez, İstanbul, TBMM, gündem dışı, söz, politika, Meclis, Parlamento, kişi, olay, yer. 

(Not: ""Sayın"" kelimesi konuşmanın bağlamında önemli bir rol oynamadığı",Mukadder Başeğmez,1,
term19-year1-session026-2,"Milletvekili, İstanbul, Gündem Dışı, Konuşma, Meclis, Başeğmez, Politikacı, Vatandaş, Türkiye, Demokrasi",Işın Çelebi,1,
term19-year1-session026-3,"Ordu, Cavit Şadi Pehlivanoglu, Meclis, tartışma, uyum, sorumluluk, temsil, karar, gelecek, vatandaş, ülke.",Cavit Şadi Pehlivanoğlu,1,
term19-year1-session066-1,"servis, iddialar, Ulaştırma Bakanı, sözlü soru önergesi, Meclis, kamuoyu, şeffaflık, hesap verebilirlik, denetim, yolsuzluk, güven",Sezg,1,
term19-year1-session066-2,"Meme kanseri, tarama, erken teşhis, kadın sağlığı, sağlık hizmeti, komisyon, kanun teklifi, araştırma, farkındalık, önleme",Mehmet Keçeciler,1,
term19-year1-session066-3,"emekliler, süper emekliler, Başbakan, yazılı soru önergesi, Meclis, emeklilik durumu, politika, sosyal güvenlik, yaşlılar, haklar.",Burhan Kara,1,
term19-year1-session066-4,"hükümet, bütçe, kanun tasarısı, komisyon, plan, ekonomi, finans, yasama, temsil, vatandaş",Mahmut Alınak,1,
term19-year1-session017-1,"Kumbaracıbaşı, Hatay, Milletvekili, Toplantı, Konuşma, Demokrasi, Vatandaş, Katılım, İletişim, Gelecek",Kumbaracıbaşı,1,
term19-year1-session017-2,"Mustafa Baş, İstanbul, TBMM, Konuşma, Alkışlar, Süre, Öngörüşme, Teşekkür",Mustafa Baş,1,
term19-year1-session017-3,"Mustafa Baş, İstanbul, TBMM, Konuşma, Alkışlar, Süre, Öngörüşme, Teşekkür",Mustafa Dağcı,1,
term19-year1-session017-4,"genel müdür yardımcısı, şube müdürü, siyasi düşünce, basından öğrenme, makam, soru, yanıt, Kırşehir, TBMM",Recep Kırış,1,
term19-year1-session086-1,"Ali Er, İçel, Meclis, Konuşma, Söz, Politika, Temsilci, Vatandaş, Demokrasi, Katılım",Ali Er,1,
term19-year1-session086-2,"çiftçi, ilaç fiyatları, vergi iadesi, sebze, meyve, fiyat düşüşü, intihar, güney, milletvekili, İçel",İsmail Sancak,1,
term19-year1-session086-3,"çiftçi, güney, fiyat, ilaç, vergi, iade, perişan, üretim, laf, tartışma",Halit Dumankaya,1,
term19-year1-session036-1,"Sayın Öztürk, ANAP, alkışlar, İstanbul, Sabri Öztürk, Meclis, Türkiye, demokrasi, katılım, ifade özgürlüğü. 

(Not: Konuşmanın içeriği sınırlı olduğu için anahtar kelimeler, konuşmacının",Sabri Öztürk,1,
